Date,USD_Value,EUR_Value
1991-02-01,10170.24,8078.02
1991-03-01,10207.25,8107.42
1991-04-01,10212.49,8111.58
1991-05-01,10065.7,7994.99
1991-06-01,9786.53,7773.25
1991-07-01,10166.4,8074.96
1991-08-01,10149.14,8061.26
1991-09-01,10247.21,8139.16
1991-10-01,10308.07,8187.5
1991-11-01,10022.04,7960.31
1991-12-01,9579.76,7609.02
1992-01-01,9750.59,7744.7
1992-02-01,9734.74,7732.11
1992-03-01,9800.65,7784.46
1992-04-01,9862.39,7833.5
1992-05-01,10181.12,8086.66
1992-06-01,10202.4,8103.56
1992-07-01,10150.16,8062.07
1992-08-01,10027.37,7964.54
1992-09-01,10163.45,8072.63
1992-10-01,9853.58,7826.5
1992-11-01,9756.0,7748.99
1992-12-01,9736.54,7733.54
1993-01-01,9706.12,7709.38
1993-02-01,9815.3,7796.09
1993-03-01,10033.99,7969.8
1993-04-01,10114.28,8033.57
1993-05-01,9923.1,7881.72
1993-06-01,9876.2,7844.47
1993-07-01,10032.31,7968.46
1993-08-01,9846.87,7821.17
1993-09-01,9604.8,7628.9
1993-10-01,9475.64,7526.31
1993-11-01,9360.49,7434.85
1993-12-01,9483.72,7532.73
1994-01-01,9820.76,7800.43
1994-02-01,9733.26,7730.93
1994-03-01,9737.58,7734.37
1994-04-01,9926.23,7884.21
1994-05-01,10433.31,8286.97
1994-06-01,10704.51,8502.38
1994-07-01,10825.9,8598.8
1994-08-01,10509.05,8347.13
1994-09-01,10497.52,8337.97
1994-10-01,10550.82,8380.31
1994-11-01,10495.6,8336.44
1994-12-01,10753.1,8540.98
1995-01-01,10650.81,8459.72
1995-02-01,10602.2,8421.11
1995-03-01,10824.72,8597.86
1995-04-01,11004.96,8741.02
1995-05-01,10886.6,8647.01
1995-06-01,10741.95,8532.11
1995-07-01,10912.52,8667.6
1995-08-01,11060.85,8785.41
1995-09-01,11132.41,8842.25
1995-10-01,11188.24,8886.6
1995-11-01,11326.04,8996.05
1995-12-01,11887.57,9442.06
1996-01-01,11931.95,9477.31
1996-02-01,12153.28,9653.1
1996-03-01,12696.12,10084.28
1996-04-01,13275.73,10544.64
1996-05-01,13175.41,10464.97
1996-06-01,13117.25,10418.77
1996-07-01,12885.58,10234.76
1996-08-01,13470.52,10699.36
1996-09-01,13496.45,10719.96
1996-10-01,13267.79,10538.34
1996-11-01,13967.21,11093.87
1996-12-01,14113.9,11210.39
1997-01-01,14159.18,11246.35
1997-02-01,14269.39,11333.89
1997-03-01,14521.27,11533.96
1997-04-01,14590.37,11588.84
1997-05-01,14760.72,11724.15
1997-06-01,13871.48,11017.84
1997-07-01,14276.68,11339.68
1997-08-01,14220.91,11295.39
1997-09-01,14333.17,11384.55
1997-10-01,14347.46,11395.9
1997-11-01,13740.04,10913.44
1997-12-01,13146.3,10441.84
1998-01-01,13155.58,10449.21
1998-02-01,12556.03,9973.01
1998-03-01,12551.61,9969.5
1998-04-01,12350.38,9809.66
1998-05-01,11709.73,9300.81
1998-06-01,11421.84,9072.14
1998-07-01,10702.64,8500.89
1998-08-01,9994.6,7938.51
1998-09-01,10739.97,8530.54
1998-10-01,10398.27,8259.14
1998-11-01,9625.31,7645.19
1998-12-01,9275.34,7367.22
1999-01-01,9212.95,7317.66
1999-02-01,8872.29,7047.08
1999-03-01,9694.77,7700.36
1999-04-01,10062.15,7992.16
1999-05-01,9422.99,7484.5
1999-06-01,9919.28,7878.68
1999-07-01,10067.29,7996.25
1999-08-01,10618.44,8434.02
1999-09-01,11140.82,8848.93
1999-10-01,10670.16,8475.1
1999-11-01,10884.94,8645.69
1999-12-01,11163.05,8866.59
2000-01-01,11726.11,9313.82
2000-02-01,11892.06,9445.63
2000-03-01,11962.61,9501.66
2000-04-01,11777.13,9354.34
2000-05-01,12517.49,9942.39
2000-06-01,12766.7,10140.34
2000-07-01,12080.67,9595.44
2000-08-01,13213.32,10495.08
2000-09-01,13084.37,10392.65
2000-10-01,12714.12,10098.57
2000-11-01,13681.44,10866.9
2000-12-01,14068.7,11174.48
2001-01-01,13689.67,10873.43
2001-02-01,13596.05,10799.07
2001-03-01,12984.07,10312.99
2001-04-01,13411.76,10652.69
2001-05-01,13105.17,10409.18
2001-06-01,12563.09,9978.61
2001-07-01,12702.38,10089.25
2001-08-01,12676.04,10068.33
2001-09-01,11808.93,9379.6
2001-10-01,11240.04,8927.74
2001-11-01,11322.37,8993.13
2001-12-01,11096.19,8813.48
2002-01-01,11020.23,8753.15
2002-02-01,11304.7,8979.1
2002-03-01,12456.95,9894.31
2002-04-01,12452.41,9890.7
2002-05-01,12258.72,9736.86
2002-06-01,12494.63,9924.24
2002-07-01,12423.52,9867.75
2002-08-01,12914.11,10257.42
2002-09-01,13393.29,10638.03
2002-10-01,13253.67,10527.13
2002-11-01,13295.36,10560.24
2002-12-01,13947.26,11078.03
2003-01-01,15021.88,11931.58
2003-02-01,15533.07,12337.61
2003-03-01,14365.79,11410.46
2003-04-01,14280.81,11342.96
2003-05-01,15119.59,12009.19
2003-06-01,14752.8,11717.86
2003-07-01,14848.84,11794.14
2003-08-01,15441.33,12264.74
2003-09-01,15460.5,12279.96
2003-10-01,16204.76,12871.12
2003-11-01,16163.42,12838.28
2003-12-01,17360.27,13788.92
2004-01-01,17683.42,14201.2
2004-02-01,18839.98,15035.81
2004-03-01,19428.12,15778.55
2004-04-01,19092.89,15933.4
2004-05-01,19424.81,15923.3
2004-06-01,18622.56,15284.46
2004-07-01,18953.38,15773.38
2004-08-01,18606.7,15278.89
2004-09-01,19876.64,15985.79
2004-10-01,20208.85,15748.75
2004-11-01,19955.91,15006.65
2004-12-01,18966.04,13981.58
2005-01-01,19147.2,14670.01
2005-02-01,20479.01,15494.42
2005-03-01,21189.89,16341.43
2005-04-01,19935.13,15426.01
2005-05-01,19754.38,16050.04
2005-06-01,20061.99,16592.47
2005-07-01,20931.94,17264.88
2005-08-01,22467.43,18205.58
2005-09-01,23472.56,19514.86
2005-10-01,21957.06,18314.38
2005-11-01,21968.49,18609.51
2005-12-01,22622.87,19100.72
2006-01-01,22984.06,18919.33
2006-02-01,21499.91,18021.65
2006-03-01,21918.86,18092.26
2006-04-01,23348.5,18493.88
2006-05-01,23498.37,18335.07
2006-06-01,23070.03,18047.45
2006-07-01,23736.54,18581.91
2006-08-01,22812.71,17809.88
2006-09-01,21383.2,16849.1
2006-10-01,22326.78,17487.9
2006-11-01,23478.73,17718.46
2006-12-01,22340.78,16927.38
2007-01-01,22313.5,17133.87
2007-02-01,23002.15,17387.78
2007-03-01,23157.13,17334.5
2007-04-01,23355.56,17107.71
2007-05-01,23318.49,17329.37
2007-06-01,22934.34,16943.2
2007-07-01,23338.58,17070.31
2007-08-01,22436.45,16446.59
2007-09-01,24182.58,16946.43
2007-10-01,24928.92,17225.63
2007-11-01,24106.86,16403.75
2007-12-01,25186.74,17249.9
2008-01-01,26214.75,17635.19
2008-02-01,29414.22,19361.62
2008-03-01,27550.94,17483.82
2008-04-01,28534.94,18265.79
2008-05-01,29309.22,18838.79
2008-06-01,31960.76,20292.53
2008-07-01,28168.55,18064.78
2008-08-01,26114.57,17770.97
2008-09-01,23106.32,16391.62
2008-10-01,18203.33,14331.12
2008-11-01,16954.16,13375.99
2008-12-01,16215.55,11599.15
2009-01-01,15361.64,11953.66
2009-02-01,14696.61,11591.37
2009-03-01,15240.38,11504.81
2009-04-01,15368.98,11612.18
2009-05-01,17384.06,12310.87
2009-06-01,17073.08,12161.32
2009-07-01,17643.22,12372.48
2009-08-01,17559.11,12242.56
2009-09-01,17854.66,12183.3
2009-10-01,18461.35,12530.64
2009-11-01,19133.9,12722.9
2009-12-01,19534.73,13634.85
2010-01-01,18135.88,13069.07
2010-02-01,18830.14,13807.2
2010-03-01,18617.14,13782.27
2010-04-01,19000.9,14288.49
2010-05-01,17705.67,14409.05
2010-06-01,17782.74,14540.23
2010-07-01,19006.83,14575.77
2010-08-01,18544.81,14641.5
2010-09-01,19911.7,14610.81
2010-10-01,20925.62,15187.61
2010-11-01,20874.87,15930.24
2010-12-01,23128.69,17388.38
2011-01-01,23386.71,17230.63
2011-02-01,23720.92,17271.2
2011-03-01,24238.66,17164.61
2011-04-01,25106.44,16939.82
2011-05-01,23866.69,16663.96
2011-06-01,22691.09,15671.83
2011-07-01,23390.82,16320.71
2011-08-01,23652.61,16387.71
2011-09-01,20196.58,14865.9
2011-10-01,21558.49,15246.38
2011-11-01,21106.44,15840.8
2011-12-01,20341.29,15700.22
2012-01-01,20869.73,15883.11
2012-02-01,21457.33,15920.27
2012-03-01,20594.02,15431.93
2012-04-01,20531.06,15505.06
2012-05-01,18680.58,15095.78
2012-06-01,19728.16,15576.96
2012-07-01,21027.37,17152.02
2012-08-01,21324.76,17044.88
2012-09-01,21713.38,16904.09
2012-10-01,20896.72,16120.77
2012-11-01,20931.45,16133.96
2012-12-01,20410.69,15430.28
2013-01-01,20924.76,15421.76
2013-02-01,20094.06,15279.52
2013-03-01,20252.9,15812.86
2013-04-01,19710.88,15051.23
2013-05-01,19292.84,14790.66
2013-06-01,18407.02,14145.05
2013-07-01,18679.79,14082.13
2013-08-01,19336.7,14622.41
2013-09-01,18867.06,13980.3
2013-10-01,18611.43,13561.22
2013-11-01,18484.43,13597.52
2013-12-01,18735.05,13566.24
2014-01-01,18813.43,13875.47
2014-02-01,20009.27,14597.36
2014-03-01,20114.76,14626.65
2014-04-01,20630.19,14934.61
2014-05-01,20061.45,14713.67
2014-06-01,20206.28,14809.18
2014-07-01,19222.78,14349.61
2014-08-01,19045.26,14500.11
2014-09-01,17883.19,14091.41
2014-10-01,17762.25,14082.09
2014-11-01,17061.68,13717.42
2014-12-01,15780.77,12975.42
2015-01-01,15272.47,13529.88
2015-02-01,15685.21,14007.2
2015-03-01,14897.98,13755.9
2015-04-01,15771.3,14190.07
2015-05-01,15365.24,14018.94
2015-06-01,15649.16,13943.87
2015-07-01,14005.99,12803.43
2015-08-01,13893.66,12389.53
2015-09-01,13435.72,11936.56
2015-10-01,13392.73,12165.29
2015-11-01,12436.65,11751.52
2015-12-01,12065.55,11034.91
2016-01-01,11874.73,10968.81
2016-02-01,11694.18,10705.08
2016-03-01,12152.13,10721.22
2016-04-01,13198.52,11528.78
2016-05-01,13187.13,11828.72
2016-06-01,13566.99,12191.71
2016-07-01,13174.03,11796.16
2016-08-01,12987.37,11644.48
2016-09-01,13327.94,11879.19
2016-10-01,13399.98,12198.81
2016-11-01,13429.46,12611.6
2016-12-01,13566.99,12896.38
2017-01-01,13756.92,12846.63
2017-02-01,13753.65,12994.45
2017-03-01,13432.73,12569.14
2017-04-01,13298.47,12192.04
2017-05-01,13134.74,11757.16
2017-06-01,13151.11,11494.07
2017-07-01,13491.68,11484.92
2017-08-01,13560.44,11401.62
2017-09-01,13645.58,11621.54
2017-10-01,13950.13,11971.58
2017-11-01,13963.23,11781.33
2017-12-01,14225.2,11854.29
2018-01-01,14474.08,11663.65
2018-02-01,14356.19,11738.2
2018-03-01,14199.01,11513.97
2018-04-01,14578.87,12025.96
2018-05-01,14971.83,12832.36
2018-06-01,14303.8,12220.3
2018-07-01,14068.02,12016.34
2018-08-01,13802.77,11832.98
2018-09-01,14041.82,12081.02
2018-10-01,13779.85,12144.73
2018-11-01,13291.92,11666.98
2018-12-01,12957.9,11326.89
2019-01-01,13534.25,11781.56
2019-02-01,13573.54,11927.34
2019-03-01,13586.64,12095.24
2019-04-01,13403.26,11983.05
2019-05-01,13164.21,11826.46
2019-06-01,13445.83,11803.96
2019-07-01,13380.34,11991.73
2019-08-01,13085.61,11883.05
2019-09-01,13193.68,12057.05
2019-10-01,13373.79,11989.6
2019-11-01,13183.85,11963.57
2019-12-01,13832.24,12347.68
2020-01-01,12967.73,11757.71
2020-02-01,12350.45,11197.14
2020-03-01,11322.2,10264.48
2020-04-01,11361.5,10445.19
2020-05-01,11602.19,10443.01
2020-06-01,11869.07,10552.91
2020-07-01,12659.91,10663.44
2020-08-01,13239.53,11108.62
